date,title,url,source,llm_pseudo_label,close_price,next_day_close_price,actual_price_return_pct,actual_price_label,text_for_llm
2025-01-01,Study Shows Links Between Coffee Drinking and Gut Health,https://dailycoffeenews.com/2025/01/01/study-shows-links-between-coffee-drinking-and-gut-health/,dailycoffeenews,neutral,,,,,title: study shows links between coffee drinking and gut health
2025-01-01,Design Details: Atomic Coffee Roasters Spreading Energy,https://dailycoffeenews.com/2025/01/01/design-details-atomic-coffee-roasters-spreading-energy/,dailycoffeenews,neutral,,,,,title: design details: atomic coffee roasters spreading energy
2025-01-02,Three Questions with Filmmaker and Third Space Coffee Owner Brooke Bierhaus Sutton,https://dailycoffeenews.com/2025/01/02/three-questions-with-filmmaker-and-third-space-coffee-owner-brooke-bierhaus-sutton/,dailycoffeenews,neutral,326.8500061035156,318.6499938964844,-2.508799771732068,중립,title: three questions with filmmaker and third space coffee owner brooke bierhaus sutton
2025-01-02,Iowa’s Euphoria Coffee Finds a Happy Home in Calmar,https://dailycoffeenews.com/2025/01/02/iowas-euphoria-coffee-finds-a-happy-home-in-calmar/,dailycoffeenews,neutral,326.8500061035156,318.6499938964844,-2.508799771732068,중립,title: iowa’s euphoria coffee finds a happy home in calmar
2025-01-02,Luckin Coffee launches in Hong Kong with five outlets in one day,https://www.worldcoffeeportal.com/news/luckin-coffee-launches-in-hong-kong-with-five-outlets-in-one-day/,worldcoffeeportal,neutral,326.8500061035156,318.6499938964844,-2.508799771732068,중립,title: luckin coffee launches in hong kong with five outlets in one day
2025-01-02,"SPC Group to establish Paris Baguette production facility in Texas, US",https://www.worldcoffeeportal.com/news/spc-group-to-establish-paris-baguette-production-facility-in-texas-us/,worldcoffeeportal,neutral,326.8500061035156,318.6499938964844,-2.508799771732068,중립,"title: spc group to establish paris baguette production facility in texas, us"
2025-01-02,The Coffee Club to invest in Thailand expansion in 2025,https://www.worldcoffeeportal.com/news/the-coffee-club-to-invest-in-thailand-expansion-in-2025/,worldcoffeeportal,neutral,326.8500061035156,318.6499938964844,-2.508799771732068,중립,title: the coffee club to invest in thailand expansion in 2025
2025-01-03,Paris Baguette creates new division to enter Middle East and Africa markets,https://www.worldcoffeeportal.com/news/paris-baguette-creates-new-division-to-enter-middle-east-and-africa-markets/,worldcoffeeportal,neutral,318.6499938964844,318.6000061035156,-0.015687366680128944,중립,title: paris baguette creates new division to enter middle east and africa markets
2025-01-03,Ireland’s Insomnia reports threefold rise in pre-tax profits,https://www.worldcoffeeportal.com/news/irelands-insomnia-reports-threefold-rise-in-pre-tax-profits/,worldcoffeeportal,neutral,318.6499938964844,318.6000061035156,-0.015687366680128944,중립,title: ireland’s insomnia reports threefold rise in pre-tax profits
2025-01-03,Curefoods acquires rights to operate Krispy Kreme in south and west India,https://www.worldcoffeeportal.com/news/curefoods-acquires-rights-to-operate-krispy-kreme-in-south-and-west-india/,worldcoffeeportal,neutral,318.6499938964844,318.6000061035156,-0.015687366680128944,중립,title: curefoods acquires rights to operate krispy kreme in south and west india
